rxn	LB	flux	UB
RXN-APPAT_FWD-coaD                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-APRAUR_FWD-ribD                          	    0.00E+00	 6.90141058E-05	    1.00E+03
RXN-ARGabc_FWD-artPhisMglnQ                  	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ARGDC_FWD-speA                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ARGDC_REV-speA                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ARGSL_FWD-argH                           	    0.00E+00	 1.04753900E-01	    1.00E+03
RXN-ARGSL_REV-argH                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ARGSS_FWD-argG                           	    0.00E+00	 1.04753900E-01	    1.00E+03
RXN-ARGSS_REV-argG                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ARGTRS_FWD-argS                          	    0.00E+00	 1.04753900E-01	    1.00E+03
RXN-AROH_FWD-pheE                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASAD_FWD-asd                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASAD_REV-asd                             	    0.00E+00	 4.86903459E-01	    1.00E+03
RXN-ASAHL_FWD-dapA                           	    0.00E+00	 1.86590244E-01	    1.00E+03
RXN-ASNabc_FWD-artPhisMglnQ                  	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNabc_REV-artPhisMglnQ                  	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNabc_FWD-tycBC                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNabc_REV-tycBC                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNS1_FWD-ADU74738                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNS1_FWD-asnA                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNS2_FWD-ADU74738                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNS2_FWD-asnA                           	    0.00E+00	 8.69918385E-02	    1.00E+03
RXN-ASNTRAT_FWD-gatABC_0                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNTRAT_FWD-gatABC_1                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASNTRS_FWD-asnC                          	    0.00E+00	 8.69918385E-02	    1.00E+03
RXN-ASP1DC_FWD-panD                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASPabc_FWD-artPhisMglnQ                  	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASPabc_FWD-tycBC                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASPCT_FWD-pyrB                           	    0.00E+00	 5.47118805E-02	    1.00E+03
RXN-ASPK_FWD-thrD                            	    0.00E+00	 4.86903459E-01	    1.00E+03
RXN-ASPO2_FWD-nadB                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASPO2y_FWD-nadB                          	    0.00E+00	 7.41548180E-03	    1.00E+03
RXN-ASPTA_FWD-aspB                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASPTA_FWD-yhdR                           	    0.00E+00	 9.29149128E-01	    1.00E+03
RXN-ASPTRS_FWD-aspS_0923                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ASPTRS_FWD-aspS_2307                     	    0.00E+00	 1.13457039E-01	    1.00E+03
RXN-ATAS_FWD-ltaSC_2059                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ATAS_FWD-ltaSC_2170                      	    0.00E+00	 9.45158630E-04	    1.00E+03
RXN-ATPM_FWD-maf                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ATPM_FWD-SPONT                           	    1.74E+00	 1.74478100E+00	    1.00E+03
RXN-ATPM_FWD-nudF                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ATPM_FWD-rsgA_1662                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ATPM_FWD-rsgA_2278                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ATPPRT_FWD-hisGZ                         	    0.00E+00	 2.84119685E-02	    1.00E+03
